time_stamp,humidity,temperature,pressure
1680721766,16,79,1008.7
1680722126,17,80,1008.7
1680725246,16,80,1008.49
1680722006,16,79,1008.7
1680722366,17,80,1008.65
1680722846,16,80,1008.59
1680722966,16,80,1008.61
1680722246,17,80,1008.66
1680722486,17,80,1008.6
1680722606,16,80,1008.57
1680721886,16,79,1008.71
1680723086,16,80,1008.58
1680723446,16,80,1008.51
1680723566,16,80,1008.56
1680725846,15,80,1008.37
1680725966,15,80,1008.44
1680698842,17,74,1007.58
1680678799,14,81,1007.88
1680721406,16,79,1008.69
1680678919,14,81,1007.93
1680694521,17,75,1007.51
1680682759,15,79,1007.96
1680683959,15,79,1007.96
1680678439,14,81,1007.8
1680687200,16,78,1007.55
1680690201,16,77,1007.7
1680681439,14,80,1007.95
1680720325,17,79,1008.76
1680701122,17,74,1007.77
1680684079,15,79,1007.99
1680698962,17,74,1007.59
1680678559,14,81,1007.88
1680685280,15,79,1007.82
1680680959,14,80,1007.9
1680684560,15,79,1007.86
1680720446,16,79,1008.71
1680680599,14,80,1007.98
1680683839,15,79,1007.99
1680691041,16,76,1007.66
1680684800,15,79,1007.82
1680680239,14,80,1007.92
1680687440,16,78,1007.55
1680706643,16,75,1008.53
1680721286,16,79,1008.7
1680682399,15,80,1007.97
1680698122,17,74,1007.53
1680682999,15,79,1007.96
1680680479,14,80,1007.93
1680711804,16,78,1008.98
1680696922,17,75,1007.57
1680696322,17,75,1007.6
1680685160,15,79,1007.83
1680700282,17,74,1007.67
1680687680,16,78,1007.56
1680689961,16,77,1007.73
1680692001,16,76,1007.64
1680715644,17,78,1009.05
1680682159,15,80,1007.94
1680689601,16,77,1007.69
1680694161,17,75,1007.58
1680689360,16,77,1007.72
1680703283,17,74,1007.85
1680693801,17,76,1007.66
1680713124,16,78,1009.02
1680706403,16,75,1008.44
1680717085,17,78,1008.92
1680690321,16,77,1007.68
1680719365,17,79,1008.8
1680704123,17,74,1007.93
1680716004,17,78,1008.94
1680712284,16,76,1007.48
1680706043,17,75,1008.4
1680704603,17,75,1008.01
1680707243,17,76,1008.68
1680693081,16,76,1007.54
1680713604,16,78,1009.09
1680702323,17,74,1007.83
1680688521,16,77,1007.67
1680687920,16,78,1007.55
1680685760,16,78,1007.84
1680713244,16,78,1008.96
1680701962,17,74,1007.86
1680692841,17,76,1007.63
1680709644,16,77,1008.78
1680717565,17,78,1008.91
1680693321,17,76,1007.56
1680681919,15,80,1007.97
1680692241,16,76,1007.65
1680703163,17,74,1007.8
1680706283,17,74,1007.29
1680719125,17,79,1008.81
1680718165,17,79,1008.83
1680712524,16,78,1008.97
1680698362,17,74,1007.56
1680715164,16,78,1009.04
1680710604,16,77,1008.89
1680705683,17,75,1008.3
1680693681,17,76,1007.64
1680693201,17,76,1007.53
1680710244,16,77,1008.9
1680703403,17,74,1007.87
1680702202,17,74,1007.85
1680706883,16,75,1008.53
1680698602,17,74,1007.56
1680701242,17,74,1007.73
1680689121,16,77,1007.7
1680693441,17,76,1007.61
1680696442,17,75,1007.61
1680718885,17,79,1008.81
1680697882,17,74,1007.51
1680716244,17,78,1008.98
1680699682,17,74,1007.69
1680688881,16,77,1007.67
1680704483,17,74,1007.99
1680687320,16,78,1007.54
1680705563,17,75,1008.32
1680711204,16,78,1008.91
1680720686,16,79,1008.67
1680689241,16,77,1007.7
1680718525,17,79,1008.8
1680710124,16,77,1008.88
1680704723,17,75,1008.06
1680683239,15,79,1007.94
1680704363,17,74,1007.98
1680691161,16,76,1007.63
1680704963,17,75,1008.16
1680700522,17,74,1007.65
1680697762,17,75,1007.52
1680721046,16,79,1008.74
1680695722,17,74,1006.54
1680711684,16,78,1008.96
1680710844,16,77,1008.91
1680695242,17,75,1007.52
1680684320,15,79,1007.89
1680700162,17,74,1007.69
1680679159,14,81,1007.89
1680683359,15,79,1007.95
1680679759,14,80,1007.87
1680714804,16,78,1009.02
1680707603,17,76,1008.77
1680696202,17,75,1007.61
1680720806,16,79,1008.72
1680687800,16,78,1007.54
1680709283,16,77,1008.73
1680685400,15,79,1007.8
1680715524,17,78,1009.07
1680695842,17,75,1007.6
1680700642,17,74,1007.72
1680696802,17,75,1007.57
1680679999,14,80,1007.88
1680689000,16,77,1007.66
1680694881,17,75,1007.53
1680686240,16,78,1007.74
1680716965,17,78,1008.92
1680710364,16,77,1008.94
1680694761,17,75,1007.55
1680712164,16,78,1008.96
1680721646,16,79,1008.73
1680682639,15,79,1008.03
1680690081,16,77,1007.71
1680681079,14,80,1007.96
1680711924,16,78,1008.99
1680688280,16,77,1007.62
1680694281,17,75,1007.52
1680707963,16,76,1008.74
1680703523,17,74,1007.92
1680717325,17,78,1008.97
1680708083,16,76,1008.67
1680684199,15,79,1007.95
1680678319,14,81,1007.75
1680681559,15,80,1007.98
1680687560,16,78,1007.53
1680690441,16,77,1007.72
1680707843,16,76,1008.77
1680704243,17,74,1007.96
1680694041,17,76,1007.58
1680683599,15,79,1007.96
1680690561,16,77,1007.67
1680686840,16,78,1007.63
1680699082,17,73,1006.64
1680699442,17,74,1007.7
1680713364,16,78,1009.03
1680685880,16,78,1007.8
1680698482,17,74,1007.52
1680700762,17,74,1007.71
1680682519,15,79,1007.98
1680683719,15,79,1007.95
1680705323,17,75,1008.29
1680709764,16,77,1008.81
1680698002,17,75,1007.51
1680688040,16,77,1007.63
1680683479,15,79,1007.95
1680691281,16,76,1007.64
1680695121,17,75,1007.57
1680709884,16,77,1008.82
1680702683,17,74,1007.81
1680720566,16,79,1008.72
1680696682,17,75,1007.6
1680719845,17,79,1008.79
1680714564,16,78,1009.03
1680697042,17,75,1007.59
1680686720,16,78,1007.65
1680701842,17,74,1007.84
1680702563,17,74,1007.85
1680706163,16,75,1008.4
1680713844,16,78,1008.99
1680696562,17,75,1007.64
1680715884,17,78,1008.93
1680691881,16,76,1007.63
1680692601,16,76,1007.63
1680713484,16,78,1009.04
1680716845,17,78,1008.92
1680721166,16,79,1008.7
1680689720,16,77,1007.68
1680700042,17,74,1007.66
1680680359,14,80,1007.9
1680708683,16,77,1008.8
1680707363,17,76,1008.67
1680717805,17,79,1008.89
1680686480,16,78,1007.73
1680721526,16,79,1008.73
1680681679,15,80,1007.95
1680690801,16,77,1007.68
1680683119,15,79,1007.96
1680699922,17,74,1007.64
1680718045,17,79,1008.86
1680708563,16,76,1008.83
1680679039,14,81,1007.87
1680681799,15,80,1007.94
1680703763,17,74,1007.88
1680681199,14,80,1007.96
1680682879,15,79,1007.98
1680682279,15,80,1007.95
1680707723,16,76,1008.74
1680718645,17,79,1008.84
1680716364,17,78,1008.91
1680695001,17,75,1007.57
1680715404,17,78,1009.09
1680719485,17,79,1008.8
1680679279,14,81,1007.89
1680686000,16,78,1007.78
1680679879,14,80,1007.87
1680714085,16,78,1009
1680705923,17,75,1008.39
1680719725,17,79,1008.81
1680686600,16,78,1007.66
1680688160,16,77,1007.58
1680696082,17,75,1007.61
1680679519,14,80,1007.83
1680699202,17,74,1007.65
1680692361,16,76,1007.67
1680708203,16,76,1008.78
1680679639,14,80,1007.85
1680682039,15,80,1007.96
1680709524,16,77,1008.77
1680714324,16,78,1009.02
1680720206,17,79,1008.78
1680702082,17,74,1007.83
1680713004,16,78,1009
1680678679,14,81,1007.9
1680680839,14,80,1007.97
1680710004,16,77,1008.86
1680710964,16,78,1008.93
1680685040,15,79,1007.81
1680715284,17,78,1009.05
1680707123,16,75,1008.58
1680713725,16,78,1009.05
1680710724,16,77,1008.93
1680679399,14,81,1007.9
1680685520,15,79,1007.82
1680714204,16,78,1009
1680695962,17,75,1007.63
1680701002,17,74,1007.76
1680688641,16,77,1007.68
1680703043,17,73,1007.78
1680712764,16,78,1008.96
1680709043,16,77,1008.8
1680684680,15,79,1007.87
1680686360,16,77,1006.77
1680715044,16,78,1009.02
1680705443,17,75,1008.29
1680708923,16,77,1008.83
1680712644,16,78,1008.98
1680706523,16,75,1008.47
1680705803,17,75,1008.39
1680715764,17,78,1009.05
1680693921,17,75,1007.63
1680697162,17,75,1007.57
1680691641,16,76,1007.65
1680699322,17,74,1007.67
1680688401,16,77,1007.7
1680701722,17,73,1006.75
1680702443,17,74,1007.87
1680701602,17,74,1007.75
1680719245,17,79,1008.84
1680717686,18,79,1008.9
1680707483,17,76,1008.74
1680680119,14,80,1007.92
1680719965,17,76,1005.95
1680695362,17,75,1007.54
1680691401,16,76,1007.62
1680680719,14,80,1007.99
1680702803,17,74,1007.79
1680684920,15,79,1007.84
1680701482,17,74,1007.76
1680694641,17,75,1007.53
1680712884,16,78,1009.01
1680714685,16,78,1007.76
1680687080,16,78,1007.58
1680691521,16,76,1007.63
1680716125,17,78,1008.92
1680684440,15,79,1007.9
1680713964,16,78,1009.01
1680692481,16,76,1007.62
1680698722,17,74,1007.58
1680720926,16,79,1008.7
1680709163,16,77,1008.81
1680718285,17,79,1008.82
1680695602,17,75,1007.55
1680710484,16,77,1008.9
1680700882,17,74,1007.74
1680716725,17,78,1008.97
1680688761,16,77,1007.72
1680703643,17,74,1007.86
1680697522,17,75,1007.56
1680717445,17,78,1008.93
1680693561,17,76,1007.62
1680701362,17,74,1007.76
1680718405,17,79,1008.85
1680719605,17,79,1008.82
1680697642,17,75,1007.54
1680689841,16,77,1007.71
1680702923,17,74,1007.8
1680717205,17,78,1008.94
1680708803,16,77,1008.86
1680690921,16,77,1007.66
1680707003,16,75,1008.55
1680706763,16,75,1008.52
1680716484,17,78,1008.91
1680685640,15,78,1007.79
1680711084,16,77,1008.94
1680692721,17,76,1007.64
1680689481,16,77,1007.73
1680711324,16,78,1008.95
1680704003,17,74,1007.9
1680692961,17,76,1007.6
1680711564,16,78,1008.93
1680699562,17,74,1007.66
1680695482,17,75,1007.58
1680709403,16,77,1008.74
1680697282,17,75,1007.53
1680718765,17,79,1008.8
1680700402,17,74,1007.67
1680705083,17,75,1008.17
1680711444,16,78,1008.95
1680720085,17,79,1008.78
1680714444,16,78,1009.04
1680681319,14,80,1007.94
1680712404,16,78,1008.98
1680708323,16,76,1008.8
1680699802,17,74,1007.65
1680717925,17,79,1008.82
1680698242,17,74,1007.52
1680690681,16,77,1007.7
1680686960,16,78,1007.63
